,Name,Acronym,Founded,Screenshot,Address,Tel,Fax,Other locations,Gender,International Students,Selection Type,Admission Rate,Admission Office,Student Enrollment,Academic Staff,Control Type,Entity Type,Academic Calendar,Campus Setting,Religious Affiliation,Library,Housing,Sport Facilities,Financial Aids,Study Abroad,Distance Learning,Academic Counseling,Career Services,Institutional Hospital,country rank,world rank,Facebook,Twitter,Linkedin,Youtube,Instagram,undergratuate_local,under_local,post_local,postgraduate_international,under_inter,post_inter,Colours,Motto
0,University of Strasbourg,,1621 ,"

 ",4 Rue Blaise Pascal - CS 90032 Strasbourg  67081 Grand Est France, +33 (0)3 68 85 00 00, +33 (0)3 68 85 07 33,Colmar, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  over-45,000","
 over-5,000","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,1,205,https://www.facebook.com/unistra,https://twitter.com/unistra,https://www.linkedin.com/school/universit%C3%A9-de-strasbourg/,https://www.youtube.com/channel/UCdrq17AhGO_yWZNRPB-X5sA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
1,University of Paris,,2019 Merger between Université Paris 5 René Descartes (1971) and Université Paris Diderot (1971),"

 ",85 boulevard Saint-Germain Paris  75006 Ile-de-France France, +33 , +33 ,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported,   ,"  over-45,000","
 4,500-4,999","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,2,235,https://www.facebook.com/univpariscite,https://twitter.com/univ_paris_cite,https://www.linkedin.com/school/universit%C3%A9-paris-cit%C3%A9/,https://www.youtube.com/channel/UC5WhlXe1I_eRCtEx7cj3ZKg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
2,University of Lille,,2018 Origins date back to 1562,"

 ",42 rue Paul Duez Lille  59000 Hauts-de-France France, +33 (0)3 62 26 90 00, +33 (0)3 20 88 24 32,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  over-45,000", Not reported,"
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported , Not reported, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,3,263,https://www.facebook.com/UniversitedeLille,https://twitter.com/univ_lille,https://www.linkedin.com/school/universite-de-lille/,https://www.youtube.com/channel/UCwQRR1SjMMfwdt0NgvFCTAg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
3,Sorbonne University,SU,2018 Merger between Université Paris-Sorbonne (1971) and Université Pierre-et-Marie-Curie (1971),"

 ",21 rue de lÉcole de médecine Paris  75006 Ile-de-France France, +33 (0)1 44 27 44 27, +33 ,Abu Dhabi, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not available,1 Rue Victor Cousin Paris 75230 (0)1 40 46 25 42 (0)1 40 46 25 49,"  over-45,000","
 2,000-2,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,4,320,https://www.facebook.com/sorbonne.univ.paris,https://twitter.com/Sorbonne_Univ_,https://www.linkedin.com/school/sorbonne-universite/,https://www.youtube.com/channel/UCJRfmVMO9aeYDHDAJuEv6bw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Indigo and yellow,
4,Normal Superior School,ENS,1794 ,"

 ",45 Rue d'Ulm Paris  75230 Ile-de-France France, +33 (0)1 44 32 30 00, +33 (0)1 44 32 20 99,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  2,000-2,999", Not reported,"
 Public",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,5,356,https://www.facebook.com/Ecole.normale.superieure.ulm,https://twitter.com/ENS_ULM,https://www.linkedin.com/school/ecolenormalesuperieure/,https://www.youtube.com/channel/UCbn8O8WwMeoZsPRxgumfvAQ,,Local students,"0-1,000 US$ (0-750 Euro)",Not reported,International students,"0-1,000 US$ (0-750 Euro)",Not reported,,
5,University of Lorraine,UL,2012 ,"

 ",34 Cours Léopold; CS 25233 Nancy  54052 Grand Est France, +33 (0)3 72 74 00 00, +33 (0)3 83 59 59 55,"Bar-le-Duc, Épinal, Metz, Poligny", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", 0-10%,2 Avenue de la Forêt de Haye Vandoeuvre les Nancy 54500 (0)3 83 59 59 59 ,"  over-45,000","
 3,500-3,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,6,391,https://www.facebook.com/UnivLorraine,https://twitter.com/Univ_Lorraine,https://www.linkedin.com/school/universit-de-lorraine/,NaN,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)","Black, yellow and white","Faire dialoguer les savoirs, cest innover "
6,University of Bordeaux,UB,1441 ,"

 ",146 rue Léo Saignat CS 61292 Bordeaux  33076 Nouvelle-Aquitaine France, +33 (0)5 57 57 10 10, +33 (0)5 56 80 08 37,Talence and Pessac, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  over-45,000", Not reported,"
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported, Yes,7,398,https://www.facebook.com/univbordeaux,https://twitter.com/univbordeaux,https://www.linkedin.com/school/universite-de-bordeaux/,https://www.youtube.com/channel/UCyix7kUjfRNVu-2q9Ve1OLg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
7,Grenoble Alpes University,UGA,1339 ,"

 ",621 avenue Centrale Saint-Martin-d'Hères  38400 Auvergne-Rhone-Alpes France, +33 (0)4 57 42 21 42, +33 (0)4 76 51 42 52,"Bonneville, Chambéry, Valence", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported,"621, Avenue Centrale Saint Martin d'Hères 38400 (0)4 76 51 46 00 ","  40,000-44,999","
 3,000-3,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,8,430,https://www.facebook.com/UGrenobleAlpes,https://twitter.com/UGrenobleAlpes,https://www.linkedin.com/school/universit%C3%A9-grenoble-alpes/,https://www.youtube.com/channel/UCcr3jLWXK34HSoVvi-PVn4A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Red and gray,Veritas Liberabit Truth will set you free
8,Claude Bernard University Lyon 1,UCBL,1809 ,"

 ","43, Boulevard du 11 Novembre 1918 Villeurbanne  69622 Auvergne-Rhone-Alpes France", +33 (0)4 72 44 80 00, +33 (0)4 72 43 10 20,"Bourg-en-Bresse, Saint-Étienne", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  35,000-39,999","
 over-5,000","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported,  Yes,Not reported,Not reported,Not reported,9,434,https://www.facebook.com/UnivLyon1,https://twitter.com/UnivLyon1,https://www.linkedin.com/school/universite-lyon-1/,https://www.youtube.com/channel/UC43fY8r0fbY4eIYBHCH-SZg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
9,University of Paris-Saclay,UPS,2014 Origins date back to 1971,"

 ","Espace Technologique - Bâtiment Discovery, Route de l'Orme aux Merisiers - RD 128 Saint-Aubin  91190 Ile-de-France France", +33 (0)1 69 33 21 66, +33 ,"Paris, Versailles, Saint-Quentin-en-Yvelines", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  over-45,000","
 over-5,000","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,10,459,https://www.facebook.com/UParisSaclay,https://twitter.com/UnivParisSaclay,https://www.linkedin.com/school/universit%C3%A9-paris-saclay/,https://www.youtube.com/channel/UCmXYWuRIjeUQJ4ermmlAAag,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
10,Normal Superior School of Lyon,ENS Lyon,1987 ,"

 ",15 parvis René Descartes; BP 7000 Lyon  69342 Auvergne-Rhone-Alpes France, +33 (0)4 37 37 60 00, +33 (0)4 72 72 80 80,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", Not reported,"46, Allée d'Italie Lyon 69007  ",  500-999,"
 300-399","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,11,492,https://www.facebook.com/ENSdeLyon,https://twitter.com/ENSdeLyon,https://www.linkedin.com/school/ens-lyon/,https://www.youtube.com/channel/UCdZ3ID0CcH5F943jOjmsGAA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,"L'enseignement par la recherche, pour la recherche Education through research, for research"
11,University of Montpellier,UM,1289 ,"

 ",163 rue Auguste Broussonnet Montpellier  34090 Occitanie France, +33 (0)4 67 41 74 00, +33 (0)4 67 41 74 56,"Albaret-Sainte-Marie, Carcassonne, Nîmes, Perpignan", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  35,000-39,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Continuous","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported, Not reported,Not reported,Not reported, Yes,12,507,https://www.facebook.com/univmontpellier,https://twitter.com/umontpellier,https://www.linkedin.com/school/universite-de-montpellier/,https://www.youtube.com/channel/UCF9oxg7Y-9jQd7WIMiZb0Pw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
12,University of Côte d'Azur,UCA,1965 ,"

 ","28, Avenue de Valrose; Boîte Postale 2135 Nice  06103 Provence-Alpes-Cote d Azur France", +33 (0)4 92 07 60 60, +33 (0)4 92 07 66 00,La Seyne-sur-Mer, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  25,000-29,999", Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,13,516,https://www.facebook.com/UnivCotedAzur,https://twitter.com/Univ_CotedAzur,https://www.linkedin.com/school/univ_cotedazur/,https://www.youtube.com/channel/UCja2ce2s9HfnxcBjrhW6n0w,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,Passerelle vers le savoir et l'innovation Gateway to knowledge and innovation
13,Paris Institute of Political Studies,Sciences Po,1872 ,"

 ","27, Rue Saint-Guillaume Paris  75337 Ile-de-France France", +33 (0)1 45 49 50 50, +33 (0)1 42 22 31 26,"Dijon, Nancy, Reims, Rouen", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 0-10%,27 Rue Saint Guillaume Paris 75337 (0)1 45 45 76 10 ,"  9,000-9,999","
 1,000-1,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,14,522,https://www.facebook.com/SciencesPo,https://twitter.com/sciencespo,https://www.linkedin.com/school/sciences-po/,https://www.youtube.com/channel/UCjaCN9r_oyIgyUwY7wgACkA,,Local students,"10,000-12,500 US$ (7,400-9,200 Euro)","over 20,000 US$ (14,700 Euro)",International students,"10,000-12,500 US$ (7,400-9,200 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)",Red,"Excellence, Innovation, Diversité "
14,University of Paris 1 Panthéon-Sorbonne,UP1,"1971 From the division into 13 autonomous universities of the Université de Paris Sorbonne, established in 1150","

 ","12, Place du Panthéon Paris  75231 Ile-de-France France", +33 (0)1 44 07 80 00, +33 (0)1 46 34 20 56,Bourg-la-Reine and Nogent-sur-Marne, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," None, open admission policy", Not available,"90, Rue de Tolbiac Paris 75013  ","  40,000-44,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Continuous","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,15,529,https://www.facebook.com/UnivParis1PantheonSorbonne,https://twitter.com/SorbonneParis1,https://www.linkedin.com/school/sorbonneparis1/,https://www.youtube.com/channel/UCmZk9OSmQ_5aw9iYh6xSzoA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
15,Polytechnic School,L'X,1794 ,"

 ",Route de Saclay Palaiseau  91128 Ile-de-France France, +33 (0)1 69 33 33 33, +33 (0)1 69 33 30 53,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 0-10%,Route de Saclay Palaiseau 91128 (0)1 69 33 3333 ,"  3,000-3,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,16,604,https://www.facebook.com/EcolePolytechnique,https://twitter.com/Polytechnique,https://www.linkedin.com/school/ecole-polytechnique/,https://www.youtube.com/channel/UCBV0UXKsSD3S2XQMD20QrtQ,,Local students,"15,000-17,500 US$ (11,000-12,900 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)",International students,"over 20,000 US$ (14,700 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)",Blue and white,"Pour la Patrie, les Sciences et la Gloire For the Homeland, Science and Glory"
16,Aix-Marseille University,AMU,2012 Origins date back to 1409,"

 ","58, boulevard Charles Livon Marseille  13284 Provence-Alpes-Cote d Azur France", +33 (0)4 91 39 65 00, +33 ,"Avignon, Digne-les-Bains, Gap", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  over-45,000","
 4,000-4,499","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,17,611,https://www.facebook.com/aixmarseilleuniversite,https://twitter.com/univamu,https://www.linkedin.com/school/aix-marseille-universite/,https://www.youtube.com/channel/UCqAJ4nmwJdjEweR1cNYPbmA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
17,University of Caen Normandy,UNICAEN,1432 ,"

 ",Esplanade de la Paix Caen  14032 Normandie France, +33 (0)2 31 56 55 00, +33 (0)2 31 56 56 00,"Cherbourg-en-Cotentin, Damigny", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  25,000-29,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Continuous",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,18,612,https://www.facebook.com/unicaen,https://twitter.com/universite_caen,https://www.linkedin.com/school/universite-de-caen-normandie/,https://www.youtube.com/channel/UCGdxNjVyszsdHUWX-7P9Gsg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
18,University of Nantes,UN,1460 ,"

 ","1, Quai de Tourville; Boîte Postale 13522 Nantes  44035 Pays de la Loire France", +33 (0)2 40 99 83 83, +33 (0)2 40 99 83 00,La Roche-sur-Yon and Saint-Nazaire, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not available,"MEIF, 15 chaussée de la Madeleine Nantes 44000 (0)2 53 46 21 62 ","  35,000-39,999","
 2,500-2,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported, Yes,19,624,https://www.facebook.com/nantesuniv,https://twitter.com/NantesUniv,https://www.linkedin.com/school/nantes-universite/,https://www.youtube.com/channel/UCNrMroWIXHBtuPOFwFBk65A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Navy blue and khaki green,
19,Central School of Lyon,ECL,1857 ,"

 ","36, Avenue Guy de Collongue Écully  69134 Auvergne-Rhone-Alpes France", +33 (0)4 72 18 60 00, +33 (0)4 78 43 39 62,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", Not available,"Service des relations internationales - Ecole centrale de Lyon - 36, Avenue Guy de Collongue Ecully 69134  ","  1,000-1,999","
 100-199","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,20,677,https://www.facebook.com/CentraleLyon,https://twitter.com/CentraleLyon,https://www.linkedin.com/school/ecole-centrale-de-lyon/,https://www.youtube.com/channel/UClzwg2InCtlI0EqrLfgu9Gw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,Une grande école sans frontières A Grande école without boundaries
20,University of Rennes 1,UR1,1970 Origins date back to 1461,"

 ",2 Rue du Thabor Rennes  35065 Bretagne France, +33 (0)2 23 23 36 36, +33 (0)2 23 23 36 00,"Lannion, St Brieuc, St Malo, Fougères", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,2 Rue du Thabor Rennes 35065 (0)2 23 23 35 35 ,"  25,000-29,999","
 2,500-2,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes",  Yes,Not reported,Not reported, Yes,21,686,https://www.facebook.com/UnivRennes1,https://twitter.com/UnivRennes1,https://www.linkedin.com/school/univrennes1/,https://www.youtube.com/channel/UCAf9V2Z9-gf_Kmbzq-cfljg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,"La volonté de progresser, d'innover, d'entreprendre The will to progress, innovate and undertake"
21,Paris Nanterre University,UPN,1964 ,"

 ",200 Avenue de la République Nanterre  92001 Ile-de-France France, +33 (0)1 40 97 72 00, +33 (0)1 40 97 75 71,Paris, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  30,000-34,999", Not reported,"
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,22,707,https://www.facebook.com/universite.paris.nanterre,https://twitter.com/uparisnanterre,https://www.linkedin.com/school/universite-paris-nanterre/,https://www.youtube.com/channel/UC9VrjgQkmIgAmmMKXBt67Vg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
22,University of Clermont Auvergne,UCA,1854 ,"

 ","49, Boulevard François-Mitterrand; Boîte Postale 32 Clermont-Ferrand  63001 Auvergne-Rhone-Alpes France", +33 (0)4 73 17 79 79, +33 (0)4 73 17 72 01,"Vichy, Aurillac, Le Puy-en-Velay", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,"49, Boulevard François-Mitterrand Clermont-Ferrand 63000 (0)4 73 17 79 79 ","  30,000-34,999","
 1,500-1,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes",  Yes,Not reported,Not reported,Not reported,23,725,https://www.facebook.com/universite.clermont.auvergne,https://twitter.com/UCAuvergne,https://www.linkedin.com/school/universite-d'auvergne/,https://www.youtube.com/channel/UCNBd2EBWTYgun21D6sl0VEw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,MAde In UdA 
23,University of Franche-Comté,UFC,1423 ,"

 ","1, Rue Goudimel Besançon  25000 Bourgogne-Franche-Comte France", +33 (0)3 81 66 66 66, +33 (0)3 81 66 50 25,"Belfort, Montbéliard, Vesoul, Lons-le-Saunier", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," None, open admission policy", Not reported,   ,"  25,000-29,999","
 400-499","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes, Yes, Yes,Not reported,24,762,https://www.facebook.com/universiteFrancheComte,https://twitter.com/fc_univ,https://www.linkedin.com/school/universite-de-franche-comte/,https://www.youtube.com/channel/UCm3hVjeFIlXXmoGH8iZQHsQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
24,University of Poitiers,UP,1431 ,"

 ",15 Rue de l'Hôtel Dieu Poitiers  86034 Nouvelle-Aquitaine France, +33 (0)5 49 45 30 00, +33 (0)5 49 45 30 50,"Angoulême, La Rochelle, Niort", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  25,000-29,999", Not reported,"
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,25,787,https://www.facebook.com/univpoitiers,https://twitter.com/univpoitiers,https://www.linkedin.com/school/universitepoitiers/,https://www.youtube.com/channel/UCSfXLb-bgf-YbY-NOA67tnQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Red,Des savoirs and des talents Knowledges and talents 
25,University of Tours,UFR,1969 ,"

 ",60 rue du Plat D'Etain Tours  37020 Centre-Val de Loire France, +33 (0)2 47 36 66 00, +33 (0)2 47 36 64 10,Blois, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," None, open admission policy", Not available,8 Rue de Tanneurs Tours 37000 (0)2 47 36 67 04 ,"  25,000-29,999","
 2,000-2,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported, Yes,26,797,https://www.facebook.com/univ.tours,https://twitter.com/UnivTours,https://www.linkedin.com/school/universite-de-tours/,https://www.youtube.com/channel/UC2edQ0WvtZnYFg-o1WyNSpg,,Local students,"0-1,000 US$ (0-750 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)",International students,"0-1,000 US$ (0-750 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)",,
26,Lumière University Lyon 2,ULL2,1973 Origins date back to 1896,"

 ","86, Rue Pasteur Lyon  69365 Auvergne-Rhone-Alpes France", +33 (0)4 78 69 70 00, +33 (0)4 78 69 56 01,Bron, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not available,Centre dinscription - Université Lumière Lyon 2 - 18 quai Claude Bernard Lyon Cedex 07 69365 4 78 69 76 76 ,"  25,000-29,999","
 900-999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes, Yes, Yes,Not reported,27,842,https://www.facebook.com/Universite.Lumiere.Lyon2,https://twitter.com/univ_lyon2,https://www.linkedin.com/school/universite-lumiere-lyon-2/,https://www.youtube.com/channel/UCUOm26mZiDk6xynFSOp2FVw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,Inter Folia Fulget The knowledge between pages
27,University of Burgundy,UB,1722 ,"

 ",Esplanade Erasme; Boîte Postale 27877 Dijon  21078 Bourgogne-Franche-Comte France, +33 (0)3 80 39 50 00, +33 (0)3 80 39 50 69,"Auxerre, Le Creusot, Nevers, Mâcon, Chalon-sur-Saône", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported, Dijon 21078  ,"  30,000-34,999","
 2,000-2,499","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes, Yes, Yes, Yes,28,843,https://www.facebook.com/univbourgogne,https://twitter.com/univbourgogne,https://www.linkedin.com/school/universit%C3%A9-de-bourgogne/,https://www.youtube.com/channel/UCFgl-1fkhqpFk-xNx16rhKg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
